HLoryCunCun4 GCA_013371645.1
HLoryCun3 GCA_009806435.1
HLhysCri1 GCA_004026905.1
HLereDor1 GCA_006547115.1
HLmusAve1 GCA_004027005.1
HLfukDam2 GCA_012274545.1
HLdasPun1 GCA_004363535.1
HLcteGun1 GCA_004027205.1
HLallBul1 GCA_004027895.1
HLdipSte1 GCA_004024685.1
HLrhiPru1 GCA_009823505.1
HLdinBra1 GCA_004027595.1
HLzapHud1 GCA_004024765.1
HLdolPat1 GCA_004027295.1
HLperLonPac1 GCA_004363475.1
HLhydHyd1 GCA_004027455.1
HLpetTyp1 GCA_004026965.1
HLcavTsc1 GCA_004027695.1
HLthrSwi1 GCA_004025085.1
HLcriGam1 GCA_004027575.1
HLneoLep1 GCA_001675575.1
HLcteSoc1 GCA_004027165.1
HLmyoCoy1 GCA_004027025.1
HLcriGri3 GCA_003668045.1
HLondZib1 GCA_004026605.1
HLperCal2 GCA_007827085.2
HLperEre1 GCA_902702925.1
HLonyTor1 GCA_903995425.1
HLperLeu1 GCA_004664715.1
HLellTal1 GCA_001685095.1
HLperPol1 GCA_003704135.2
HLperManBai2 GCA_003704035.1
HLsigHis1 GCA_004025045.1
HLellLut1 GCA_001685075.1
HLmyoGla2 GCA_902806735.1
HLarvAmp1 GCA_903992535.1
HLpsaObe1 GCA_002215935.2
HLacoRus1 GCA_903995435.1
HLgraSur1 GCA_004785775.1
HLarvNil1 GCA_011762505.1
HLmicOec1 GCA_007455595.1
HLmicAgr2 GCA_902806775.1
HLmicFor1 GCA_014885135.1
HLacoCah1 GCA_004027535.1
HLmicArv1 GCA_007455615.1
HLrhoOpi1 GCA_010120015.1
HLmasCou1 GCA_008632895.1
HLmerUng1 GCA_002204375.1
HLratRat7 GCA_011064425.1
HLratNor7 GCA_015227675.1
HLmusPah1 GCA_900095145.2
HLmusCar1 GCA_900094665.2
HLmusSpi1 GCA_003336285.1
HLmusSpr1 GCA_001624865.1
HLapoSyl1 GCA_001305905.1
HLdugDug1 GCA_015147995.1
HLhydGig1 GCA_013391785.1
HLhetBru1 GCA_004026845.1
HLproCap3 GCA_004026925.2
HLmicTal1 GCA_004026705.1
HLvomUrs1 GCA_900497805.2
HLphaCin1 GCA_002099425.1
HLgraAgi1 GCA_016433145.1
HLtriVul1 GCA_011100635.1
HLgymLea1 GCA_011680675.1
HLthyCyn1 GCA_007646695.1
HLantFla1 GCA_016432865.1
HLsarHar2 GCA_902635505.1
HLornAna3 GCA_004115215.1
HLtacAcu1 GCA_015852505.1
